Well,ElasticModulus,Std,PoissonRatio,SampleHeight,R2
A5,656699.0,66011.0,0.5,8.7,0.844
A6,2417662.0,24673.0,0.5,8.8,0.998
B5,1109576.0,114027.0,0.5,8.0,0.904
B6,2606604.0,48371.0,0.5,9.6,0.993
C5,1546831.0,90142.0,0.5,7.9,0.96
C6,2883927.0,62016.0,0.5,9.4,0.991
D5,1900665.0,94409.0,0.5,8.3,0.963
D6,5237933.0,709342.0,0.5,7.0,0.971
D7,4066395.0,52793.0,0.5,8.4,0.997
E5,6092323.0,165391.0,0.3,8.7,0.986
E6,5233491.0,143215.0,0.3,8.4,0.986
E7,4341983.0,51763.0,0.3,9.9,0.997
F3,47683.0,22699.0,0.5,9.5,0.462
F4,4511454.0,82541.0,0.5,9.1,0.995
F5,5454173.0,196885.0,0.5,7.4,0.989
G3,5249250.0,132977.0,0.3,9.8,0.988
G4,5011314.0,125196.0,0.3,9.9,0.988
