Test_Time,2025-07-18 03:04:20
Well,G3
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),25.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.813
Baseline_Std(N),0.003
Contact_Detected,True
Contact_Z(mm),-10.274
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752822253.979,-9.501,1.814,0.000
1752822254.049,-9.530,1.814,0.000
1752822254.118,-9.586,1.809,-0.004
1752822254.188,-9.614,1.818,0.005
1752822254.258,-9.643,1.818,0.005
1752822254.326,-9.693,1.816,0.002
1752822254.395,-9.721,1.812,-0.002
1752822254.465,-9.756,1.816,0.002
1752822254.533,-9.801,1.809,-0.004
1752822254.601,-9.831,1.814,0.000
1752822254.669,-9.864,1.812,-0.002
1752822254.737,-9.909,1.818,0.005
1752822254.805,-9.940,1.816,0.002
1752822254.873,-9.976,1.816,0.002
1752822254.941,-10.015,1.822,0.009
1752822255.009,-10.049,1.814,0.000
1752822255.077,-10.087,1.675,-0.139
1752822255.145,-10.126,1.417,-0.396
1752822255.214,-10.161,1.125,-0.688
1752822255.283,-10.196,0.782,-1.031
1752822255.352,-10.238,0.343,-1.471
1752822255.420,-10.274,-0.292,-2.106
1752822255.488,-10.305,-0.909,-2.722
1752822255.557,-10.344,-1.658,-3.471
1752822255.627,-10.381,-2.365,-4.178
1752822255.696,-10.415,-3.056,-4.869
1752822255.765,-10.451,-3.817,-5.631
1752822255.836,-10.493,-4.548,-6.361
1752822255.905,-10.528,-5.255,-7.069
1752822255.973,-10.561,-5.940,-7.753
1752822256.041,-10.600,-6.695,-8.508
1752822256.109,-10.636,-7.424,-9.237
1752822256.177,-10.671,-8.175,-9.988
1752822256.245,-10.711,-9.005,-10.818
1752822256.313,-10.749,-9.766,-11.579
1752822256.381,-10.779,-10.453,-12.266
1752822256.449,-10.821,-11.326,-13.140
1752822256.519,-10.859,-12.075,-13.889
1752822256.587,-10.893,-12.772,-14.586
1752822256.656,-10.931,-13.569,-15.382
1752822256.725,-10.970,-14.312,-16.125
1752822256.793,-11.000,-14.970,-16.783
1752822256.862,-11.043,-15.833,-17.646
1752822256.931,-11.080,-16.565,-18.378
1752822257.002,-11.114,-17.345,-19.159
1752822257.073,-11.154,-18.221,-20.034
1752822257.144,-11.195,-18.993,-20.806
1752822257.214,-11.225,-19.607,-21.420
1752822257.284,-11.264,-20.445,-22.258
1752822257.353,-11.306,-21.140,-22.953
1752822257.422,-11.339,-21.551,-23.364
1752822257.492,-11.375,-21.721,-23.534
1752822257.559,-11.414,-21.821,-23.634
1752822257.628,-11.449,-22.053,-23.866
1752822257.697,-11.488,-22.811,-24.624
1752822257.765,-11.521,-23.468,-25.281
