Well,ElasticModulus,Std,PoissonRatio,SampleHeight,R2
A5,784793.0,43339.0,0.5,5.5,0.972
A6,2925037.0,53465.0,0.3,8.1,0.993
B5,920279.0,40427.0,0.5,5.4,0.984
B6,3663614.0,74377.0,0.3,8.6,0.993
C5,1296065.0,12533.0,0.5,6.6,0.998
C6,3669341.0,67002.0,0.3,8.3,0.994
D5,3606061.0,69607.0,0.3,6.6,0.993
D6,3990700.0,101179.0,0.5,6.1,0.99
D7,3859489.0,115292.0,0.3,6.8,0.985
E5,7270286.0,277465.0,0.3,8.0,0.984
E6,6547527.0,264256.0,0.3,8.1,0.981
E7,4784334.0,116556.0,0.3,9.8,0.991
F3,3523503.0,86848.0,0.3,6.8,0.989
F4,3888929.0,130326.0,0.3,7.6,0.981
F5,4323495.0,120180.0,0.3,7.1,0.988
G3,6433059.0,280850.0,0.3,9.1,0.978
G4,6342779.0,297280.0,0.3,9.2,0.973
