Test_Time,2025-07-18 03:00:20
Well,B6
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),25.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.816
Baseline_Std(N),0.002
Contact_Detected,True
Contact_Z(mm),-10.845
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752822011.461,-9.501,1.814,-0.002
1752822011.529,-9.530,1.818,0.002
1752822011.597,-9.585,1.822,0.006
1752822011.666,-9.611,1.814,-0.002
1752822011.734,-9.641,1.818,0.002
1752822011.803,-9.689,1.816,-0.000
1752822011.872,-9.723,1.812,-0.005
1752822011.940,-9.750,1.816,-0.000
1752822012.008,-9.794,1.818,0.002
1752822012.077,-9.833,1.814,-0.002
1752822012.147,-9.863,1.822,0.006
1752822012.215,-9.905,1.814,-0.002
1752822012.285,-9.944,1.826,0.010
1752822012.354,-9.970,1.812,-0.005
1752822012.424,-10.011,1.820,0.004
1752822012.492,-10.055,1.816,-0.000
1752822012.560,-10.083,1.820,0.004
1752822012.630,-10.123,1.820,0.004
1752822012.698,-10.166,1.820,0.004
1752822012.767,-10.194,1.803,-0.013
1752822012.838,-10.234,1.766,-0.050
1752822012.908,-10.278,1.724,-0.092
1752822012.977,-10.301,1.683,-0.133
1752822013.046,-10.341,1.594,-0.222
1752822013.115,-10.385,1.536,-0.281
1752822013.185,-10.410,1.484,-0.332
1752822013.255,-10.451,1.343,-0.473
1752822013.323,-10.494,1.278,-0.538
1752822013.391,-10.520,1.199,-0.617
1752822013.459,-10.560,1.025,-0.791
1752822013.527,-10.601,0.903,-0.913
1752822013.595,-10.629,0.814,-1.003
1752822013.663,-10.668,0.598,-1.218
1752822013.731,-10.709,0.461,-1.355
1752822013.799,-10.738,0.340,-1.476
1752822013.867,-10.774,0.114,-1.702
1752822013.935,-10.815,-0.058,-1.874
1752822014.003,-10.845,-0.199,-2.015
1752822014.071,-10.885,-0.448,-2.264
1752822014.139,-10.926,-0.660,-2.476
1752822014.206,-10.956,-0.846,-2.662
1752822014.274,-10.994,-1.133,-2.949
1752822014.342,-11.035,-1.398,-3.214
1752822014.411,-11.066,-1.647,-3.463
1752822014.481,-11.103,-2.004,-3.820
1752822014.550,-11.145,-2.402,-4.219
1752822014.620,-11.178,-2.701,-4.517
1752822014.690,-11.213,-3.079,-4.895
1752822014.759,-11.258,-3.525,-5.341
1752822014.827,-11.284,-3.712,-5.528
1752822014.895,-11.319,-4.160,-5.976
1752822014.963,-11.363,-4.635,-6.451
1752822015.031,-11.396,-4.986,-6.802
1752822015.099,-11.428,-5.351,-7.167
1752822015.167,-11.468,-5.828,-7.644
1752822015.234,-11.508,-6.270,-8.086
1752822015.302,-11.540,-6.652,-8.468
1752822015.370,-11.576,-7.141,-8.957
1752822015.438,-11.618,-7.643,-9.460
1752822015.505,-11.650,-8.054,-9.870
1752822015.573,-11.684,-8.446,-10.263
1752822015.641,-11.725,-9.019,-10.835
1752822015.709,-11.759,-9.428,-11.244
1752822015.777,-11.795,-9.940,-11.756
1752822015.845,-11.831,-10.374,-12.190
1752822015.913,-11.868,-10.855,-12.671
1752822015.983,-11.906,-11.389,-13.205
1752822016.050,-11.944,-11.928,-13.744
1752822016.118,-11.975,-12.364,-14.180
1752822016.186,-12.016,-12.967,-14.784
1752822016.256,-12.055,-13.436,-15.253
1752822016.324,-12.089,-13.914,-15.730
1752822016.392,-12.126,-14.488,-16.304
1752822016.461,-12.166,-15.053,-16.869
1752822016.531,-12.201,-15.605,-17.421
1752822016.601,-12.236,-16.113,-17.929
1752822016.670,-12.279,-16.781,-18.597
1752822016.742,-12.309,-17.231,-19.047
1752822016.812,-12.353,-17.904,-19.720
1752822016.882,-12.389,-18.445,-20.261
1752822016.951,-12.423,-18.999,-20.815
1752822017.021,-12.464,-19.619,-21.436
1752822017.091,-12.501,-20.122,-21.938
1752822017.161,-12.533,-20.578,-22.394
1752822017.231,-12.573,-21.151,-22.967
1752822017.300,-12.611,-21.530,-23.346
1752822017.371,-12.645,-21.439,-23.255
1752822017.441,-12.684,-21.474,-23.290
1752822017.511,-12.720,-21.613,-23.429
1752822017.581,-12.758,-22.232,-24.048
1752822017.650,-12.793,-22.800,-24.616
1752822017.718,-12.833,-23.495,-25.311
