Test_Time,2025-07-10 22:00:25
Well,A6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),98.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.054,0.216,Down
0.223,-0.221,0.220,Down
0.330,-0.504,0.216,Down
0.435,-0.889,0.222,Down
0.539,-1.381,0.222,Down
0.645,-1.999,0.231,Down
0.752,-2.728,0.226,Down
0.859,-3.573,0.214,Down
0.966,-4.463,0.216,Down
1.073,-5.363,0.220,Down
1.181,-6.255,0.216,Down
1.283,-7.109,0.224,Down
1.390,-7.991,0.214,Down
1.497,-8.886,0.231,Down
1.601,-9.751,0.208,Down
1.705,-10.619,0.212,Down
1.813,-11.515,0.216,Down
1.920,-12.354,-0.122,Down
2.027,-13.074,-5.882,Down
2.131,-13.666,-13.351,Down
2.236,-14.154,-19.148,Down
2.340,-14.526,-22.784,Down
2.443,-14.790,-24.018,Down
2.549,-14.951,-23.315,Down
2.654,-15.000,-21.566,Down
2.760,-14.965,-22.813,Up
2.864,-14.823,-23.240,Up
2.972,-14.560,-23.068,Up
3.078,-14.193,-22.468,Up
3.185,-13.705,-20.240,Up
3.289,-13.123,-19.976,Up
3.396,-12.406,-21.310,Up
3.501,-11.603,-16.488,Up
3.607,-10.719,-10.527,Up
3.709,-9.868,-4.502,Up
3.813,-9.001,2.886,Up
3.920,-8.113,4.036,Up
4.028,-7.215,0.316,Up
4.130,-6.360,0.247,Up
4.236,-5.480,0.233,Up
4.339,-4.623,0.220,Up
4.443,-3.755,0.228,Up
4.551,-2.885,0.237,Up
4.656,-2.145,0.216,Up
4.761,-1.511,0.220,Up
4.866,-0.990,0.212,Up
4.972,-0.575,0.216,Up
5.076,-0.275,0.222,Up
5.184,-0.080,0.226,Up
