Test_Time,2025-07-10 22:00:49
Well,C6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),116.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.054,0.218,Down
0.220,-0.214,0.220,Down
0.324,-0.483,0.224,Down
0.431,-0.871,0.208,Down
0.538,-1.375,0.210,Down
0.645,-1.996,0.218,Down
0.752,-2.729,0.214,Down
0.859,-3.576,0.210,Down
0.964,-4.451,0.212,Down
1.071,-5.341,0.214,Down
1.176,-6.215,0.206,Down
1.280,-7.080,0.212,Down
1.383,-7.934,0.212,Down
1.488,-8.808,0.210,Down
1.594,-9.696,0.218,Down
1.697,-10.554,0.214,Down
1.801,-11.415,-0.375,Down
1.907,-12.259,-5.882,Down
2.014,-12.993,-12.416,Down
2.118,-13.596,-18.902,Down
2.225,-14.108,-22.939,Down
2.331,-14.499,-24.234,Down
2.438,-14.779,-25.055,Down
2.545,-14.946,-25.323,Down
2.650,-15.000,-25.246,Down
2.757,-14.968,-24.572,Up
2.864,-14.825,-23.441,Up
2.970,-14.568,-22.383,Up
3.076,-14.199,-21.045,Up
3.181,-13.726,-18.789,Up
3.288,-13.130,-16.304,Up
3.391,-12.449,-13.729,Up
3.497,-11.633,-10.936,Up
3.601,-10.768,-8.210,Up
3.705,-9.904,-5.513,Up
3.809,-9.038,-1.077,Up
3.917,-8.138,1.542,Up
4.021,-7.275,1.567,Up
4.129,-6.371,1.181,Up
4.233,-5.508,0.253,Up
4.340,-4.620,0.210,Up
4.442,-3.763,0.214,Up
4.550,-2.899,0.208,Up
4.653,-2.162,0.208,Up
4.759,-1.513,0.214,Up
4.868,-0.983,0.210,Up
4.973,-0.573,0.204,Up
5.077,-0.274,0.206,Up
5.185,-0.080,0.208,Up
