Test_Time,2025-07-11 05:32:13
Well,B6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.564
Sampling_Period(ms),20
Well_X(mm),107.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.053,0.214,Down
0.223,-0.228,0.216,Down
0.349,-0.574,0.222,Down
0.460,-0.989,0.216,Down
0.562,-1.425,0.224,Down
0.672,-1.871,0.216,Down
0.779,-2.319,0.214,Down
0.886,-2.763,0.224,Down
0.992,-3.204,0.222,Down
1.095,-3.634,0.220,Down
1.202,-4.078,0.222,Down
1.308,-4.521,0.224,Down
1.412,-4.954,0.231,Down
1.518,-5.395,0.231,Down
1.621,-5.826,0.237,Down
1.724,-6.250,0.226,Down
1.830,-6.695,0.228,Down
1.937,-7.140,0.226,Down
2.044,-7.586,0.226,Down
2.150,-8.025,0.241,Down
2.255,-8.466,0.235,Down
2.358,-8.894,0.228,Down
2.466,-9.343,0.235,Down
2.573,-9.790,0.245,Down
2.680,-10.235,0.233,Down
2.786,-10.675,0.245,Down
2.891,-11.111,0.233,Down
2.998,-11.556,0.152,Down
3.105,-12.004,-3.724,Down
3.212,-12.450,-11.071,Down
3.315,-12.879,-18.387,Down
3.418,-13.304,-24.099,Down
3.524,-13.746,-31.608,Down
3.631,-14.190,-39.260,Down
3.738,-14.564,-47.652,Down
4.960,-15.000,-56.856,Down
5.068,-14.946,-65.959,Up
5.174,-14.779,-65.957,Up
5.282,-14.496,-65.961,Up
5.389,-14.098,-65.963,Up
5.496,-13.654,-65.961,Up
5.600,-13.223,-65.963,Up
5.707,-12.775,-65.969,Up
5.812,-12.339,-65.959,Up
5.924,-11.870,-65.965,Up
6.030,-11.433,-65.959,Up
6.136,-10.989,-65.965,Up
6.243,-10.545,-65.961,Up
6.345,-10.118,-65.963,Up
6.451,-9.678,-65.957,Up
6.553,-9.252,-65.955,Up
6.658,-8.816,-65.967,Up
6.761,-8.389,-65.803,Up
6.864,-7.960,-57.958,Up
6.970,-7.515,-48.576,Up
7.078,-7.069,-40.025,Up
7.183,-6.630,-30.016,Up
7.289,-6.188,-22.829,Up
7.392,-5.760,-14.665,Up
7.494,-5.336,-5.830,Up
7.599,-4.899,2.241,Up
7.705,-4.456,6.980,Up
7.809,-4.023,1.992,Up
7.916,-3.579,0.056,Up
8.023,-3.133,-0.068,Up
8.130,-2.688,-0.110,Up
8.232,-2.264,-0.118,Up
8.339,-1.819,-0.131,Up
8.445,-1.375,-0.131,Up
8.550,-0.940,-0.126,Up
8.656,-0.538,-0.112,Up
8.763,-0.244,-0.104,Up
8.866,-0.070,-0.093,Up
