Test_Time,2025-07-10 21:54:23
Well,A5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),98.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.053,0.224,Down
0.224,-0.221,0.214,Down
0.329,-0.498,0.228,Down
0.434,-0.880,0.220,Down
0.538,-1.370,0.214,Down
0.645,-1.989,0.214,Down
0.748,-2.691,0.226,Down
0.855,-3.533,0.216,Down
0.970,-4.488,0.210,Down
1.077,-5.381,0.218,Down
1.184,-6.271,0.212,Down
1.291,-7.163,0.224,Down
1.393,-8.008,0.224,Down
1.495,-8.863,0.224,Down
1.602,-9.749,0.216,Down
1.705,-10.605,0.224,Down
1.811,-11.496,0.218,Down
1.919,-12.338,0.089,Down
2.026,-13.061,-0.137,Down
2.130,-13.656,-0.272,Down
2.234,-14.141,-0.369,Down
2.338,-14.518,-1.330,Down
2.444,-14.790,-4.548,Down
2.548,-14.949,-8.050,Down
2.653,-15.000,-10.177,Down
2.760,-14.966,-11.104,Up
2.862,-14.829,-11.173,Up
2.969,-14.574,-10.463,Up
3.076,-14.205,-8.915,Up
3.184,-13.718,-6.353,Up
3.291,-13.116,-2.504,Up
3.398,-12.400,1.453,Up
3.505,-11.575,3.947,Up
3.610,-10.701,3.839,Up
3.716,-9.819,3.471,Up
3.823,-8.925,2.994,Up
3.931,-8.031,1.583,Up
4.034,-7.164,0.843,Up
4.142,-6.271,0.714,Up
4.246,-5.406,0.633,Up
4.350,-4.536,0.575,Up
4.456,-3.659,0.536,Up
4.561,-2.816,0.484,Up
4.664,-2.099,0.453,Up
4.768,-1.478,0.428,Up
4.872,-0.966,0.394,Up
4.979,-0.555,0.370,Up
5.084,-0.260,0.343,Up
5.191,-0.073,0.326,Up
