Well,ElasticModulus,Std,PoissonRatio,SampleHeight,R2
A5,917541.0,60196.0,0.5,7.9,0.978
A6,3204801.0,19931.0,0.5,8.6,1.0
B5,468285.0,89426.0,0.5,9.2,0.889
B6,3382086.0,68425.0,0.5,9.5,0.996
C5,1843161.0,98520.0,0.5,8.2,0.977
C6,3236251.0,84048.0,0.5,9.4,0.993
D5,2945459.0,163892.0,0.5,7.8,0.982
D6,7009210.0,1341249.0,0.5,7.0,0.0
D7,5364580.0,283930.0,0.5,7.3,0.99
E5,6368141.0,342181.0,0.5,8.0,0.977
E6,5135180.0,185821.0,0.5,8.6,0.987
E7,4265349.0,48427.0,0.3,9.9,0.998
F3,115005.0,37483.0,0.5,9.4,0.692
F4,4335683.0,92644.0,0.5,9.1,0.995
F5,8450817.0,163792.0,0.5,9.6,0.996
G3,4904680.0,179383.0,0.3,9.4,0.985
G4,4954098.0,132683.0,0.3,9.9,0.992
