Test_Time,2025-07-18 00:52:16
Well,B6
Target_Z(mm),-13.000
Step_Size(mm),0.200
Force_Limit(N),40.0
Baseline_Force(N),1.818
Baseline_Std(N),0.004

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752814330.225,-9.501,1.822,0.004
1752814330.295,-9.531,1.816,-0.002
1752814330.366,-9.613,1.814,-0.004
1752814330.436,-9.689,1.814,-0.004
1752814330.505,-9.748,1.818,0.000
1752814330.573,-9.815,1.809,-0.008
1752814330.641,-9.889,1.743,-0.075
1752814330.711,-9.954,1.660,-0.158
1752814330.779,-10.020,1.540,-0.278
1752814330.847,-10.093,1.399,-0.419
1752814330.915,-10.154,1.266,-0.552
1752814330.983,-10.223,1.092,-0.726
1752814331.052,-10.291,0.915,-0.903
1752814331.120,-10.358,0.716,-1.102
1752814331.187,-10.429,0.482,-1.336
1752814331.256,-10.493,0.255,-1.562
1752814331.325,-10.563,-0.048,-1.865
1752814331.393,-10.629,-0.294,-2.112
1752814331.461,-10.696,-0.620,-2.438
1752814331.528,-10.761,-0.938,-2.755
1752814331.597,-10.831,-1.307,-3.125
1752814331.665,-10.901,-1.730,-3.548
1752814331.732,-10.963,-2.133,-3.950
1752814331.801,-11.034,-2.674,-4.492
1752814331.869,-11.099,-3.164,-4.982
1752814331.936,-11.165,-3.780,-5.598
1752814332.005,-11.238,-4.457,-6.274
1752814332.072,-11.299,-5.042,-6.859
1752814332.139,-11.368,-5.813,-7.631
1752814332.206,-11.434,-6.533,-8.351
1752814332.275,-11.499,-7.326,-9.144
1752814332.343,-11.569,-8.256,-10.073
1752814332.411,-11.639,-9.185,-11.003
1752814332.479,-11.701,-10.015,-11.833
1752814332.549,-11.773,-11.038,-12.856
1752814332.619,-11.840,-11.957,-13.775
1752814332.687,-11.909,-12.980,-14.798
1752814332.756,-11.975,-13.990,-15.808
1752814332.825,-12.046,-15.094,-16.912
1752814332.894,-12.110,-16.100,-17.918
1752814332.963,-12.181,-17.231,-19.049
1752814333.032,-12.248,-18.242,-20.059
1752814333.100,-12.318,-19.252,-21.070
1752814333.168,-12.383,-20.113,-21.931
1752814333.234,-12.451,-20.258,-22.076
1752814333.302,-12.516,-20.476,-22.294
1752814333.370,-12.585,-21.503,-23.321
1752814333.438,-12.655,-22.628,-24.446
1752814333.506,-12.718,-23.620,-25.437
1752814333.574,-12.788,-24.780,-26.597
1752814333.642,-12.853,-25.804,-27.622
1752814333.710,-12.920,-26.904,-28.722
1752814333.778,-12.990,-28.052,-29.869
1752814333.847,-13.054,-29.116,-30.934
