Test_Time,2025-07-18 00:53:06
Well,A5
Target_Z(mm),-13.000
Step_Size(mm),0.200
Force_Limit(N),40.0
Baseline_Force(N),1.818
Baseline_Std(N),0.003

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752814379.742,-9.501,1.822,0.004
1752814379.812,-9.531,1.822,0.004
1752814379.882,-9.608,1.818,-0.000
1752814379.951,-9.688,1.822,0.004
1752814380.022,-9.754,1.820,0.002
1752814380.114,-9.813,1.816,-0.002
1752814380.185,-9.909,1.814,-0.005
1752814380.253,-9.961,1.824,0.006
1752814380.321,-10.020,1.824,0.006
1752814380.389,-10.098,1.822,0.004
1752814380.457,-10.165,1.826,0.008
1752814380.524,-10.230,1.820,0.002
1752814380.593,-10.299,1.818,-0.000
1752814380.663,-10.370,1.824,0.006
1752814380.732,-10.434,1.809,-0.009
1752814380.800,-10.505,1.814,-0.005
1752814380.870,-10.571,1.822,0.004
1752814380.937,-10.640,1.820,0.002
1752814381.005,-10.705,1.814,-0.005
1752814381.073,-10.775,1.818,-0.000
1752814381.141,-10.845,1.814,-0.005
1752814381.209,-10.908,1.826,0.008
1752814381.280,-10.978,1.816,-0.002
1752814381.348,-11.046,1.820,0.002
1752814381.418,-11.115,1.820,0.002
1752814381.490,-11.183,1.816,-0.002
1752814381.560,-11.256,1.818,-0.000
1752814381.630,-11.323,1.822,0.004
1752814381.699,-11.390,1.816,-0.002
1752814381.767,-11.464,1.816,-0.002
1752814381.835,-11.526,1.774,-0.044
1752814381.903,-11.596,1.714,-0.104
1752814381.970,-11.663,1.681,-0.137
1752814382.038,-11.729,1.660,-0.158
1752814382.105,-11.800,1.648,-0.171
1752814382.173,-11.863,1.639,-0.179
1752814382.241,-11.931,1.608,-0.210
1752814382.309,-12.003,1.579,-0.239
1752814382.377,-12.064,1.554,-0.264
1752814382.445,-12.128,1.500,-0.318
1752814382.514,-12.199,1.444,-0.374
1752814382.582,-12.266,1.394,-0.424
1752814382.650,-12.335,1.285,-0.534
1752814382.718,-12.400,1.013,-0.805
1752814382.786,-12.470,0.901,-0.917
1752814382.856,-12.535,0.865,-0.953
1752814382.926,-12.605,0.762,-1.057
1752814382.996,-12.674,0.637,-1.181
1752814383.065,-12.744,0.448,-1.370
1752814383.133,-12.809,0.212,-1.606
1752814383.200,-12.880,-0.039,-1.857
1752814383.268,-12.944,-0.357,-2.175
1752814383.335,-13.013,-0.699,-2.517
