Test_Time,2025-07-17 23:16:09
Well,G3
Target_Z(mm),-13.500
Step_Size(mm),0.200
Force_Limit(N),40.0
Baseline_Force(N),1.838
Baseline_Std(N),0.003

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752808563.586,-9.501,1.845,0.007
1752808563.654,-9.529,1.841,0.002
1752808563.724,-9.604,1.836,-0.002
1752808563.794,-9.684,1.787,-0.051
1752808563.862,-9.749,1.714,-0.124
1752808563.930,-9.804,1.517,-0.321
1752808564.001,-9.879,1.280,-0.558
1752808564.069,-9.950,0.948,-0.890
1752808564.137,-10.013,0.446,-1.392
1752808564.205,-10.081,0.567,-1.271
1752808564.273,-10.153,-0.180,-2.018
1752808564.341,-10.214,-1.270,-3.108
1752808564.410,-10.278,-2.533,-4.371
1752808564.477,-10.349,-3.956,-5.795
1752808564.545,-10.414,-5.266,-7.104
1752808564.614,-10.483,-6.670,-8.508
1752808564.682,-10.550,-7.957,-9.795
1752808564.751,-10.619,-9.370,-11.208
1752808564.819,-10.684,-10.741,-12.579
1752808564.887,-10.754,-12.210,-14.048
1752808564.955,-10.818,-13.573,-15.411
1752808565.023,-10.886,-15.080,-16.918
1752808565.092,-10.958,-16.659,-18.497
1752808565.160,-11.020,-18.094,-19.932
1752808565.228,-11.091,-19.671,-21.509
1752808565.296,-11.156,-21.030,-22.868
1752808565.364,-11.224,-21.609,-23.447
1752808565.433,-11.296,-22.215,-24.053
1752808565.501,-11.359,-23.437,-25.275
1752808565.569,-11.429,-24.927,-26.765
1752808565.637,-11.495,-26.313,-28.151
1752808565.707,-11.563,-27.823,-29.661
1752808565.777,-11.636,-29.440,-31.278
1752808565.848,-11.701,-30.896,-32.734
1752808565.917,-11.775,-32.481,-34.319
1752808565.985,-11.836,-33.820,-35.658
1752808566.054,-11.899,-35.243,-37.081
1752808566.123,-11.976,-36.959,-38.797
1752808566.192,-12.044,-38.430,-40.268
