Test_Time,2025-07-16 15:39:41
Well,A1
Target_Z(mm),-14.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),99.000
Well_Y(mm),48.500

Timestamp(s),Z_Position(mm),Force(N),Movement
0.012,-0.070,2.048,Down
0.236,-0.246,2.054,Down
0.340,-0.531,2.050,Down
0.445,-0.879,2.065,Down
0.549,-1.225,2.052,Down
0.652,-1.570,2.050,Down
0.756,-1.916,2.058,Down
0.860,-2.263,2.054,Down
0.964,-2.609,2.058,Down
1.068,-2.954,2.054,Down
1.171,-3.299,2.054,Down
1.275,-3.645,2.052,Down
1.379,-3.993,2.067,Down
1.484,-4.339,2.054,Down
1.587,-4.685,2.063,Down
1.691,-5.030,2.058,Down
1.795,-5.375,2.063,Down
1.898,-5.720,2.061,Down
2.002,-6.065,2.056,Down
2.105,-6.411,2.058,Down
2.209,-6.755,2.063,Down
2.313,-7.100,2.065,Down
2.416,-7.445,2.065,Down
2.521,-7.794,2.050,Down
2.624,-8.139,2.058,Down
2.728,-8.484,2.052,Down
2.831,-8.829,2.052,Down
2.935,-9.174,2.048,Down
3.038,-9.519,1.529,Down
3.142,-9.864,-0.562,Down
3.246,-10.209,-0.537,Down
3.349,-10.554,0.135,Down
3.453,-10.901,0.894,Down
3.557,-11.246,1.347,Down
3.661,-11.593,1.581,Down
3.765,-11.938,1.341,Down
3.868,-12.284,0.668,Down
3.972,-12.629,-0.643,Down
4.076,-12.974,-2.799,Down
4.179,-13.319,-3.104,Down
4.283,-13.643,-6.044,Down
4.387,-13.866,-9.307,Down
4.491,-13.983,-12.710,Down
4.695,-14.000,-15.434,Down
4.799,-13.949,-11.679,Up
4.904,-13.790,-11.544,Up
5.008,-13.521,-10.951,Up
5.112,-13.178,-10.465,Up
5.217,-12.829,-8.969,Up
5.322,-12.480,-5.930,Up
5.426,-12.134,-1.593,Up
5.529,-11.788,3.081,Up
5.633,-11.441,5.229,Up
5.738,-11.094,3.917,Up
5.842,-10.748,3.737,Up
5.946,-10.399,3.573,Up
6.051,-10.050,3.312,Up
6.156,-9.701,2.513,Up
6.261,-9.353,2.428,Up
6.365,-9.004,2.359,Up
6.475,-8.640,2.334,Up
6.578,-8.294,2.384,Up
6.684,-7.944,2.370,Up
6.788,-7.595,2.361,Up
6.892,-7.249,2.347,Up
6.996,-6.903,2.336,Up
7.101,-6.554,2.328,Up
7.205,-6.205,2.326,Up
7.310,-5.856,2.289,Up
7.414,-5.509,2.289,Up
7.518,-5.163,2.283,Up
7.623,-4.815,2.280,Up
7.729,-4.460,2.260,Up
7.837,-4.101,2.245,Up
7.947,-3.734,2.239,Up
8.052,-3.386,2.224,Up
8.160,-3.026,2.227,Up
8.270,-2.659,2.212,Up
8.379,-2.295,2.204,Up
8.485,-1.943,2.208,Up
8.593,-1.580,2.193,Up
8.698,-1.234,2.193,Up
8.802,-0.885,2.189,Up
8.906,-0.539,2.181,Up
9.010,-0.251,2.175,Up
9.114,-0.074,2.162,Up
