Well,ElasticModulus,Std,PoissonRatio,SampleHeight,R2
A5,572907.0,16107.0,0.5,5.8,0.991
A6,2986750.0,45141.0,0.3,8.1,0.995
B5,804254.0,25052.0,0.5,5.7,0.989
B6,3391245.0,57546.0,0.3,8.6,0.994
C5,974193.0,26479.0,0.5,7.0,0.983
C6,3201930.0,75974.0,0.3,8.3,0.988
D5,3304424.0,73661.0,0.5,6.8,0.99
D6,3835077.0,81708.0,0.5,6.2,0.993
D7,3268008.0,74392.0,0.3,6.8,0.989
E5,6364113.0,243352.0,0.3,7.9,0.98
E6,5367981.0,213615.0,0.3,8.1,0.976
E7,4427246.0,97603.0,0.3,9.8,0.992
F3,3175440.0,63896.0,0.3,6.8,0.991
F4,3555141.0,111097.0,0.3,7.5,0.981
F5,3594873.0,100457.0,0.3,7.2,0.985
G3,5730396.0,233687.0,0.3,9.1,0.976
G4,5626153.0,223195.0,0.3,9.3,0.977
