Well,ElasticModulus,Std,PoissonRatio,SampleHeight,R2
A5,116267.0,29223.0,0.5,9.0,0.677
A6,3339076.0,39132.0,0.5,9.7,0.997
B5,142850.0,38140.0,0.5,8.9,0.62
B6,3484248.0,23336.0,0.5,9.3,0.999
C5,2136675.0,220410.0,0.5,9.4,0.974
C6,3329393.0,35016.0,0.5,9.3,0.998
D5,1576831.0,120431.0,0.5,8.5,0.957
D6,849976.0,95277.0,0.5,7.8,0.898
D7,4982502.0,70594.0,0.5,7.6,0.998
E5,6312968.0,256599.0,0.5,8.0,0.975
E6,4971668.0,176362.0,0.5,8.4,0.977
E7,4227316.0,41823.0,0.3,9.9,0.998
F3,52262.0,21291.0,0.5,9.5,0.527
F4,3813422.0,103720.0,0.5,9.2,0.987
F5,4804607.0,88792.0,0.5,8.9,0.993
G3,4688088.0,129295.0,0.3,9.4,0.984
G4,4854568.0,95583.0,0.3,9.9,0.992
