Test_Time,2025-07-11 04:45:04
Well,C6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.554
Sampling_Period(ms),10
Well_X(mm),116.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.010,-0.064,0.231,Down
0.232,-0.241,0.214,Down
0.337,-0.525,0.216,Down
0.444,-0.928,0.201,Down
0.550,-1.445,0.218,Down
0.654,-2.051,0.212,Down
0.760,-2.795,0.218,Down
0.868,-3.653,0.222,Down
0.970,-4.503,0.218,Down
1.074,-5.378,0.214,Down
1.181,-6.259,0.222,Down
1.288,-7.151,0.212,Down
1.392,-8.016,0.224,Down
1.499,-8.906,0.226,Down
1.604,-9.784,0.218,Down
1.707,-10.634,0.226,Down
1.814,-11.530,0.228,Down
1.921,-12.360,-1.842,Down
2.027,-13.074,-16.816,Down
2.136,-13.695,-29.693,Down
2.242,-14.179,-42.681,Down
2.349,-14.554,-55.105,Down
2.761,-14.999,-65.803,Down
2.868,-14.999,-65.957,Down
2.972,-14.999,-65.959,Down
3.079,-14.999,-65.961,Down
3.188,-14.999,-65.959,Down
4.111,-15.000,-65.959,Down
4.218,-14.950,-65.961,Up
4.325,-14.786,-65.961,Up
4.428,-14.519,-65.963,Up
4.533,-14.139,-65.959,Up
4.640,-13.641,-65.965,Up
4.742,-13.054,-65.963,Up
4.846,-12.355,-65.965,Up
4.950,-11.541,-65.963,Up
5.056,-10.658,-65.961,Up
5.162,-9.780,-65.965,Up
5.264,-8.929,-65.963,Up
5.370,-8.045,-65.967,Up
5.477,-7.158,-65.959,Up
5.583,-6.270,-65.959,Up
5.690,-5.383,-65.959,Up
5.797,-4.492,-65.959,Up
5.904,-3.603,-60.245,Up
6.011,-2.749,-50.676,Up
6.115,-2.031,-41.488,Up
6.220,-1.416,-28.124,Up
6.326,-0.909,-15.480,Up
6.432,-0.513,-0.504,Up
6.538,-0.230,10.532,Up
6.641,-0.061,0.726,Up
