Test_Time,2025-07-11 04:45:22
Well,B5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),107.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.064,0.226,Down
0.233,-0.243,0.233,Down
0.350,-0.579,0.226,Down
0.460,-1.003,0.235,Down
0.566,-1.531,0.226,Down
0.673,-2.179,0.233,Down
0.775,-2.901,0.228,Down
0.878,-3.734,0.226,Down
0.985,-4.629,0.226,Down
1.089,-5.494,0.239,Down
1.194,-6.368,0.222,Down
1.301,-7.264,0.237,Down
1.406,-8.133,0.233,Down
1.511,-9.011,0.226,Down
1.619,-9.914,0.233,Down
1.722,-10.765,0.228,Down
1.829,-11.654,0.233,Down
1.936,-12.473,0.212,Down
2.041,-13.166,-0.147,Down
2.148,-13.756,-0.035,Down
2.255,-14.233,-0.087,Down
2.362,-14.595,-0.923,Down
2.469,-14.841,-4.898,Down
2.577,-14.975,-9.291,Down
2.784,-15.000,-12.465,Down
2.892,-14.946,-14.150,Up
2.999,-14.776,-14.163,Up
3.106,-14.495,-12.882,Up
3.210,-14.111,-11.820,Up
3.315,-13.611,-9.507,Up
3.422,-12.990,-5.299,Up
3.530,-12.254,0.326,Up
3.637,-11.395,4.565,Up
3.744,-10.509,4.420,Up
3.852,-9.613,3.878,Up
3.959,-8.719,3.334,Up
4.064,-7.840,1.550,Up
4.168,-6.983,1.181,Up
4.273,-6.104,0.882,Up
4.382,-5.194,0.704,Up
4.490,-4.304,0.577,Up
4.596,-3.415,0.506,Up
4.703,-2.588,0.428,Up
4.809,-1.886,0.382,Up
4.914,-1.291,0.351,Up
5.020,-0.811,0.320,Up
5.126,-0.439,0.301,Up
5.233,-0.181,0.287,Up
5.339,-0.035,0.276,Up
