Test_Time,2025-07-11 04:32:57
Well,A6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.815
Sampling_Period(ms),20
Well_X(mm),98.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.034,0.249,Down
0.204,-0.180,0.243,Down
0.307,-0.429,0.249,Down
0.414,-0.801,0.235,Down
0.519,-1.270,0.243,Down
0.625,-1.865,0.237,Down
0.732,-2.574,0.237,Down
0.836,-3.374,0.235,Down
0.943,-4.264,0.231,Down
1.074,-5.385,0.243,Down
1.191,-6.326,0.228,Down
1.298,-7.216,0.237,Down
1.405,-8.105,0.235,Down
1.510,-8.985,0.239,Down
1.615,-9.858,0.241,Down
1.720,-10.731,0.237,Down
1.826,-11.613,0.089,Down
1.928,-12.403,-0.678,Down
2.033,-13.103,-7.936,Down
2.140,-13.704,-19.827,Down
2.242,-14.173,-29.929,Down
2.349,-14.550,-41.891,Down
2.456,-14.815,-52.819,Down
2.868,-14.999,-61.330,Down
2.971,-14.999,-65.961,Down
3.078,-14.999,-65.959,Down
3.185,-14.999,-65.961,Down
3.288,-14.999,-65.963,Down
4.208,-15.000,-65.961,Down
4.316,-14.946,-65.965,Up
4.419,-14.788,-65.959,Up
4.526,-14.510,-65.955,Up
4.628,-14.136,-65.967,Up
4.732,-13.653,-65.963,Up
4.839,-13.044,-65.961,Up
4.944,-12.331,-65.961,Up
5.051,-11.488,-65.963,Up
5.155,-10.621,-65.961,Up
5.258,-9.763,-65.959,Up
5.362,-8.898,-65.961,Up
5.464,-8.050,-65.961,Up
5.571,-7.160,-65.959,Up
5.678,-6.270,-65.961,Up
5.785,-5.381,-65.787,Up
5.888,-4.525,-62.006,Up
5.994,-3.638,-55.404,Up
6.101,-2.786,-46.387,Up
6.203,-2.078,-35.658,Up
6.307,-1.459,-24.796,Up
6.413,-0.944,-14.546,Up
6.519,-0.539,0.123,Up
6.626,-0.246,8.827,Up
6.733,-0.066,0.619,Up
