Test_Time,2025-07-11 04:33:26
Well,C5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),116.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.053,0.224,Down
0.221,-0.215,0.235,Down
0.328,-0.494,0.222,Down
0.433,-0.879,0.228,Down
0.538,-1.376,0.228,Down
0.645,-1.994,0.231,Down
0.752,-2.728,0.237,Down
0.856,-3.548,0.224,Down
0.963,-4.439,0.233,Down
1.067,-5.303,0.231,Down
1.175,-6.206,0.231,Down
1.280,-7.076,0.224,Down
1.387,-7.965,0.228,Down
1.491,-8.837,0.224,Down
1.595,-9.703,0.231,Down
1.700,-10.575,0.233,Down
1.805,-11.449,0.237,Down
1.909,-12.266,0.191,Down
2.014,-12.989,-0.469,Down
2.118,-13.598,-4.133,Down
2.226,-14.110,-12.831,Down
2.333,-14.504,-20.761,Down
2.440,-14.784,-25.719,Down
2.547,-14.949,-30.431,Down
2.758,-15.000,-33.647,Down
2.861,-14.951,-35.417,Up
2.965,-14.795,-35.382,Up
3.068,-14.535,-32.861,Up
3.174,-14.156,-32.068,Up
3.281,-13.659,-28.601,Up
3.384,-13.071,-24.531,Up
3.491,-12.346,-17.599,Up
3.598,-11.520,-8.349,Up
3.704,-10.631,2.839,Up
3.809,-9.756,10.242,Up
3.912,-8.899,7.061,Up
4.017,-8.029,4.438,Up
4.120,-7.168,2.268,Up
4.226,-6.290,1.421,Up
4.330,-5.428,1.094,Up
4.434,-4.560,0.851,Up
4.541,-3.665,0.654,Up
4.648,-2.810,0.517,Up
4.754,-2.068,0.413,Up
4.859,-1.451,0.355,Up
4.962,-0.949,0.314,Up
5.069,-0.540,0.289,Up
5.176,-0.246,0.287,Up
5.279,-0.070,0.264,Up
