Test_Time,2025-07-18 01:49:23
Well,B5
Target_Z(mm),-13.000
Step_Size(mm),0.100
Force_Limit(N),40.0
Baseline_Force(N),1.829
Baseline_Std(N),0.004

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752817754.187,-9.501,1.834,0.005
1752817754.257,-9.530,1.826,-0.003
1752817754.327,-9.586,1.832,0.003
1752817754.397,-9.614,1.830,0.001
1752817754.469,-9.638,1.828,-0.001
1752817754.538,-9.688,1.826,-0.003
1752817754.608,-9.726,1.824,-0.005
1752817754.678,-9.741,1.830,0.001
1752817754.747,-9.781,1.826,-0.003
1752817754.816,-9.830,1.832,0.003
1752817754.887,-9.854,1.830,0.001
1752817754.956,-9.891,1.834,0.005
1752817755.026,-9.938,1.834,0.005
1752817755.097,-9.964,1.824,-0.005
1752817755.167,-10.004,1.834,0.005
1752817755.238,-10.049,1.832,0.003
1752817755.308,-10.078,1.834,0.005
1752817755.380,-10.113,1.832,0.003
1752817755.450,-10.159,1.828,-0.001
1752817755.519,-10.190,1.836,0.007
1752817755.588,-10.224,1.830,0.001
1752817755.658,-10.266,1.830,0.001
1752817755.726,-10.299,1.830,0.001
1752817755.794,-10.331,1.828,-0.001
1752817755.862,-10.374,1.828,-0.001
1752817755.930,-10.408,1.824,-0.005
1752817755.999,-10.443,1.818,-0.012
1752817756.067,-10.481,1.814,-0.016
1752817756.135,-10.516,1.812,-0.018
1752817756.203,-10.554,1.799,-0.030
1752817756.271,-10.588,1.782,-0.047
1752817756.339,-10.625,1.749,-0.080
1752817756.406,-10.664,1.718,-0.111
1752817756.474,-10.699,1.702,-0.128
1752817756.543,-10.733,1.691,-0.138
1752817756.629,-10.774,1.699,-0.130
1752817756.710,-10.820,1.712,-0.117
1752817756.780,-10.850,1.714,-0.115
1752817756.852,-10.883,1.712,-0.117
1752817756.921,-10.928,1.718,-0.111
1752817756.992,-10.959,1.722,-0.107
1752817757.061,-10.990,1.716,-0.113
1752817757.131,-11.036,1.733,-0.097
1752817757.201,-11.070,1.739,-0.090
1752817757.271,-11.100,1.735,-0.095
1752817757.340,-11.144,1.747,-0.082
1752817757.410,-11.179,1.747,-0.082
1752817757.485,-11.213,1.739,-0.090
1752817757.552,-11.256,1.753,-0.076
1752817757.621,-11.286,1.758,-0.072
1752817757.689,-11.325,1.735,-0.095
1752817757.756,-11.368,1.650,-0.180
1752817757.824,-11.398,1.527,-0.302
1752817757.892,-11.434,1.282,-0.547
1752817757.960,-11.476,1.146,-0.684
1752817758.029,-11.508,1.152,-0.678
1752817758.097,-11.543,1.089,-0.740
1752817758.165,-11.585,1.100,-0.730
1752817758.232,-11.616,1.123,-0.707
1752817758.300,-11.649,1.143,-0.686
1752817758.368,-11.693,1.214,-0.615
1752817758.436,-11.724,1.258,-0.572
1752817758.504,-11.760,1.297,-0.532
1752817758.573,-11.799,1.345,-0.485
1752817758.641,-11.833,1.413,-0.416
1752817758.709,-11.871,1.498,-0.331
1752817758.778,-11.910,1.575,-0.254
1752817758.846,-11.946,1.612,-0.217
1752817758.915,-11.981,1.621,-0.209
1752817758.983,-12.023,1.643,-0.186
1752817759.051,-12.059,1.670,-0.159
1752817759.119,-12.089,1.658,-0.171
1752817759.187,-12.133,1.664,-0.165
1752817759.255,-12.169,1.666,-0.163
1752817759.324,-12.201,1.635,-0.194
1752817759.392,-12.241,1.610,-0.219
1752817759.461,-12.279,1.565,-0.265
1752817759.539,-12.314,1.405,-0.425
1752817759.612,-12.356,1.146,-0.684
1752817759.683,-12.393,0.894,-0.935
1752817759.754,-12.426,0.764,-1.066
1752817759.824,-12.468,0.843,-0.987
1752817759.895,-12.506,0.905,-0.925
1752817759.964,-12.536,0.932,-0.898
1752817760.034,-12.578,0.899,-0.931
1752817760.103,-12.616,0.843,-0.987
1752817760.176,-12.649,0.745,-1.084
1752817760.247,-12.691,0.648,-1.182
1752817760.317,-12.726,0.583,-1.246
1752817760.386,-12.756,0.463,-1.366
1752817760.455,-12.798,0.303,-1.526
1752817760.524,-12.839,0.179,-1.651
1752817760.595,-12.864,0.089,-1.740
1752817760.668,-12.906,-0.097,-1.927
1752817760.738,-12.949,-0.218,-2.047
1752817760.808,-12.976,-0.253,-2.082
1752817760.877,-13.014,-0.361,-2.190
