Test_Time,2025-07-11 04:44:54
Well,B6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.549
Sampling_Period(ms),10
Well_X(mm),107.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.010,-0.064,0.220,Down
0.234,-0.245,0.222,Down
0.339,-0.531,0.216,Down
0.446,-0.938,0.231,Down
0.552,-1.453,0.228,Down
0.657,-2.073,0.226,Down
0.764,-2.818,0.214,Down
0.871,-3.674,0.222,Down
0.974,-4.536,0.218,Down
1.082,-5.426,0.231,Down
1.184,-6.280,0.222,Down
1.290,-7.163,0.224,Down
1.396,-8.044,0.224,Down
1.503,-8.931,0.228,Down
1.607,-9.799,0.228,Down
1.713,-10.688,0.235,Down
1.819,-11.563,0.228,Down
1.924,-12.379,-2.124,Down
2.031,-13.096,-16.659,Down
2.133,-13.678,-29.635,Down
2.240,-14.169,-43.200,Down
2.348,-14.549,-55.236,Down
2.757,-14.999,-65.867,Down
2.864,-14.999,-65.963,Down
2.972,-14.999,-65.963,Down
3.078,-14.999,-65.959,Down
3.183,-14.999,-65.961,Down
4.105,-15.000,-65.955,Down
4.213,-14.949,-65.963,Up
4.317,-14.790,-65.959,Up
4.423,-14.518,-65.961,Up
4.527,-14.100,-65.961,Up
4.644,-13.586,-65.959,Up
4.750,-12.964,-65.957,Up
4.858,-12.218,-65.963,Up
4.966,-11.361,-65.967,Up
5.068,-10.505,-65.959,Up
5.176,-9.614,-65.961,Up
5.283,-8.715,-65.959,Up
5.390,-7.826,-65.959,Up
5.493,-6.970,-65.961,Up
5.599,-6.089,-65.957,Up
5.701,-5.239,-65.957,Up
5.808,-4.349,-65.955,Up
5.916,-3.450,-62.481,Up
6.019,-2.646,-52.620,Up
6.124,-1.940,-43.422,Up
6.226,-1.354,-30.174,Up
6.334,-0.853,-17.692,Up
6.440,-0.471,-2.641,Up
6.544,-0.205,8.499,Up
6.652,-0.045,1.399,Up
