Test_Time,2025-07-11 05:41:03
Well,A5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),98.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.064,0.160,Down
0.230,-0.236,0.150,Down
0.333,-0.514,0.156,Down
0.440,-0.869,0.158,Down
0.547,-1.224,0.156,Down
0.654,-1.580,0.156,Down
0.760,-1.935,0.152,Down
0.866,-2.287,0.162,Down
0.969,-2.630,0.158,Down
1.076,-2.985,0.150,Down
1.182,-3.341,0.152,Down
1.287,-3.690,0.154,Down
1.394,-4.045,0.152,Down
1.501,-4.401,0.152,Down
1.604,-4.745,0.156,Down
1.711,-5.101,0.160,Down
1.815,-5.451,0.156,Down
1.923,-5.808,0.158,Down
2.030,-6.164,0.160,Down
2.136,-6.518,0.162,Down
2.243,-6.874,0.164,Down
2.350,-7.230,0.158,Down
2.453,-7.573,0.164,Down
2.560,-7.929,0.158,Down
2.666,-8.284,0.174,Down
2.773,-8.640,0.166,Down
2.880,-8.996,0.164,Down
2.987,-9.353,0.166,Down
3.094,-9.711,0.164,Down
3.198,-10.055,0.162,Down
3.304,-10.411,0.166,Down
3.411,-10.766,0.166,Down
3.518,-11.124,0.166,Down
3.623,-11.473,0.170,Down
3.730,-11.829,0.168,Down
3.837,-12.184,0.164,Down
3.944,-12.540,0.075,Down
4.051,-12.896,-0.058,Down
4.157,-13.249,-0.120,Down
4.263,-13.605,-0.193,Down
4.370,-13.959,-0.284,Down
4.475,-14.311,-0.415,Down
4.582,-14.644,-0.616,Down
4.689,-14.871,-1.973,Down
4.796,-14.986,-5.355,Down
5.005,-15.000,-8.924,Down
5.108,-14.953,-11.806,Up
5.215,-14.791,-13.254,Up
5.321,-14.516,-13.293,Up
5.427,-14.168,-12.206,Up
5.531,-13.820,-11.287,Up
5.638,-13.465,-9.617,Up
5.741,-13.121,-6.154,Up
5.847,-12.770,-1.029,Up
5.953,-12.415,3.500,Up
6.056,-12.073,3.955,Up
6.163,-11.718,3.556,Up
6.269,-11.363,3.249,Up
6.375,-11.011,2.934,Up
6.481,-10.655,2.585,Up
6.588,-10.300,1.714,Up
6.690,-9.959,1.229,Up
6.796,-9.606,1.060,Up
6.901,-9.256,0.953,Up
7.003,-8.916,0.853,Up
7.110,-8.561,0.760,Up
7.216,-8.210,0.677,Up
7.319,-7.865,0.596,Up
7.426,-7.510,0.556,Up
7.528,-7.169,0.504,Up
7.633,-6.820,0.459,Up
7.737,-6.474,0.415,Up
7.843,-6.119,0.403,Up
7.949,-5.766,0.382,Up
8.052,-5.421,0.357,Up
8.159,-5.066,0.349,Up
8.266,-4.710,0.330,Up
8.370,-4.364,0.318,Up
8.477,-4.009,0.301,Up
8.583,-3.654,0.293,Up
8.690,-3.298,0.284,Up
8.797,-2.940,0.278,Up
8.905,-2.581,0.266,Up
9.012,-2.224,0.264,Up
9.119,-1.869,0.251,Up
9.226,-1.513,0.239,Up
9.333,-1.156,0.239,Up
9.439,-0.801,0.245,Up
9.542,-0.463,0.228,Up
9.648,-0.196,0.226,Up
9.755,-0.041,0.222,Up
