Well,ElasticModulus,Std,PoissonRatio,SampleHeight,R2
A5,74363.0,24800.0,0.5,9.1,0.608
A6,3181823.0,13850.0,0.5,8.6,1.0
B5,63655.0,22859.0,0.5,9.0,0.598
B6,3429245.0,26806.0,0.5,9.3,0.999
C5,1157472.0,90786.0,0.5,8.9,0.917
C6,3342243.0,33342.0,0.5,9.2,0.998
D5,1747988.0,160413.0,0.5,8.9,0.982
D6,315947.0,40579.0,0.5,7.8,0.882
D7,5898500.0,187006.0,0.5,7.3,0.993
E5,6426989.0,244655.0,0.3,8.1,0.98
E6,5661571.0,186329.0,0.3,8.4,0.983
E7,4150432.0,63382.0,0.3,9.9,0.996
F3,17394.0,19118.0,0.5,9.6,0.231
F4,4556490.0,149618.0,0.5,9.2,0.99
F5,5158446.0,154514.0,0.5,7.6,0.991
G3,5624727.0,192391.0,0.3,9.4,0.982
G4,5221581.0,136374.0,0.3,9.9,0.987
