Test_Time,2025-07-18 02:25:08
Well,B6
Target_Z(mm),-13.000
Step_Size(mm),0.100
Force_Limit(N),30.0
Baseline_Force(N),1.818
Baseline_Std(N),0.003

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752819898.391,-9.501,1.824,0.006
1752819898.461,-9.530,1.816,-0.002
1752819898.531,-9.586,1.824,0.006
1752819898.600,-9.614,1.820,0.002
1752819898.669,-9.636,1.820,0.002
1752819898.739,-9.685,1.826,0.008
1752819898.808,-9.725,1.818,0.000
1752819898.876,-9.739,1.822,0.004
1752819898.946,-9.776,1.820,0.002
1752819899.016,-9.826,1.826,0.008
1752819899.086,-9.848,1.818,0.000
1752819899.154,-9.883,1.824,0.006
1752819899.223,-9.929,1.818,0.000
1752819899.293,-9.959,1.818,0.000
1752819899.364,-9.994,1.816,-0.002
1752819899.433,-10.036,1.820,0.002
1752819899.503,-10.069,1.826,0.008
1752819899.574,-10.103,1.820,0.002
1752819899.643,-10.148,1.818,0.000
1752819899.714,-10.181,1.803,-0.015
1752819899.783,-10.214,1.760,-0.058
1752819899.851,-10.255,1.712,-0.106
1752819899.919,-10.290,1.666,-0.151
1752819899.987,-10.326,1.619,-0.199
1752819900.055,-10.363,1.546,-0.272
1752819900.123,-10.399,1.463,-0.355
1752819900.192,-10.438,1.378,-0.440
1752819900.260,-10.470,1.293,-0.525
1752819900.330,-10.509,1.133,-0.685
1752819900.398,-10.549,1.013,-0.805
1752819900.467,-10.576,0.936,-0.882
1752819900.534,-10.614,0.745,-1.073
1752819900.602,-10.658,0.602,-1.216
1752819900.670,-10.686,0.502,-1.315
1752819900.739,-10.723,0.305,-1.513
1752819900.807,-10.766,0.118,-1.699
1752819900.875,-10.796,0.002,-1.815
1752819900.943,-10.830,-0.201,-2.019
1752819901.012,-10.874,-0.419,-2.237
1752819901.082,-10.906,-0.525,-2.342
1752819901.150,-10.939,-0.749,-2.567
1752819901.219,-10.983,-1.008,-2.826
1752819901.288,-11.016,-1.174,-2.992
1752819901.356,-11.046,-1.375,-3.193
1752819901.424,-11.091,-1.763,-3.581
1752819901.492,-11.125,-1.954,-3.772
1752819901.559,-11.158,-2.268,-4.085
1752819901.627,-11.198,-2.616,-4.434
1752819901.696,-11.233,-2.896,-4.714
1752819901.766,-11.269,-3.264,-5.081
1752819901.835,-11.306,-3.606,-5.424
1752819901.902,-11.343,-3.990,-5.807
1752819901.970,-11.381,-4.392,-6.210
1752819902.038,-11.414,-4.714,-6.532
1752819902.106,-11.453,-5.164,-6.982
1752819902.174,-11.491,-5.564,-7.382
1752819902.242,-11.525,-5.948,-7.766
1752819902.310,-11.560,-6.359,-8.177
1752819902.379,-11.601,-6.857,-8.675
1752819902.448,-11.636,-7.268,-9.086
1752819902.517,-11.669,-7.668,-9.486
1752819902.586,-11.713,-8.258,-10.075
1752819902.655,-11.748,-8.695,-10.513
1752819902.723,-11.776,-9.050,-10.868
1752819902.793,-11.818,-9.671,-11.488
1752819902.862,-11.860,-10.144,-11.961
1752819902.931,-11.884,-10.428,-12.246
1752819903.002,-11.925,-11.096,-12.914
1752819903.072,-11.968,-11.569,-13.387
1752819903.140,-11.994,-11.889,-13.706
1752819903.210,-12.035,-12.575,-14.393
1752819903.280,-12.076,-13.123,-14.941
1752819903.349,-12.105,-13.538,-15.356
1752819903.417,-12.146,-14.217,-16.034
1752819903.485,-12.186,-14.727,-16.545
1752819903.553,-12.216,-15.210,-17.028
1752819903.620,-12.255,-15.841,-17.659
1752819903.688,-12.295,-16.387,-18.205
1752819903.757,-12.326,-16.820,-18.638
1752819903.827,-12.363,-17.441,-19.259
1752819903.896,-12.405,-18.065,-19.883
1752819903.966,-12.436,-18.520,-20.338
1752819904.034,-12.471,-19.094,-20.912
1752819904.103,-12.516,-19.669,-21.487
1752819904.173,-12.548,-20.065,-21.883
1752819904.242,-12.581,-20.582,-22.400
1752819904.310,-12.623,-21.142,-22.960
1752819904.379,-12.655,-21.410,-23.228
1752819904.448,-12.693,-21.603,-23.421
1752819904.517,-12.730,-21.696,-23.514
1752819904.589,-12.766,-21.844,-23.661
1752819904.658,-12.808,-22.302,-24.120
1752819904.726,-12.840,-22.765,-24.583
1752819904.794,-12.874,-23.381,-25.199
1752819904.861,-12.915,-24.045,-25.863
1752819904.929,-12.949,-24.537,-26.355
1752819904.997,-12.985,-25.174,-26.992
1752819905.065,-13.021,-25.751,-27.568
