Test_Time,2025-07-15 19:39:16
Well,A1
Target_Z(mm),-14.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),97.000
Well_Y(mm),58.500

Timestamp(s),Z_Position(mm),Force(N),Movement
0.012,-0.064,2.127,Down
0.231,-0.234,2.137,Down
0.338,-0.522,2.114,Down
0.443,-0.873,2.133,Down
0.548,-1.223,2.131,Down
0.653,-1.571,2.135,Down
0.756,-1.914,2.129,Down
0.860,-2.261,2.121,Down
0.967,-2.618,2.137,Down
1.074,-2.975,2.129,Down
1.179,-3.323,2.117,Down
1.281,-3.664,2.127,Down
1.386,-4.015,2.125,Down
1.492,-4.366,2.121,Down
1.599,-4.724,2.137,Down
1.705,-5.076,2.127,Down
1.810,-5.425,2.123,Down
1.917,-5.784,2.125,Down
2.021,-6.128,2.127,Down
2.128,-6.484,2.112,Down
2.231,-6.828,2.123,Down
2.338,-7.184,2.121,Down
2.440,-7.525,2.125,Down
2.546,-7.876,2.131,Down
2.653,-8.234,2.129,Down
2.760,-8.590,2.119,Down
2.866,-8.944,2.121,Down
2.970,-9.289,2.125,Down
3.076,-9.645,2.125,Down
3.180,-9.989,1.536,Down
3.285,-10.340,0.876,Down
3.390,-10.688,1.021,Down
3.494,-11.036,1.023,Down
3.597,-11.379,1.009,Down
3.700,-11.721,0.745,Down
3.806,-12.074,0.040,Down
3.913,-12.431,0.571,Down
4.018,-12.779,0.212,Down
4.120,-13.119,-0.921,Down
4.226,-13.474,-2.481,Down
4.333,-13.763,-3.537,Down
4.435,-13.933,-3.799,Down
4.642,-14.000,-4.981,Down
4.748,-13.949,-5.268,Up
4.855,-13.784,-5.392,Up
4.962,-13.504,-4.901,Up
5.069,-13.149,-4.486,Up
5.174,-12.799,-3.917,Up
5.278,-12.453,-2.025,Up
5.380,-12.111,0.861,Up
5.487,-11.755,3.801,Up
5.594,-11.398,3.656,Up
5.701,-11.041,3.403,Up
5.804,-10.700,2.990,Up
5.911,-10.344,2.749,Up
6.018,-9.986,2.554,Up
6.122,-9.639,2.326,Up
6.225,-9.295,2.206,Up
6.331,-8.944,2.181,Up
6.437,-8.591,2.299,Up
6.542,-8.240,2.181,Up
6.649,-7.885,2.166,Up
6.752,-7.544,2.264,Up
6.859,-7.186,2.283,Up
6.966,-6.829,2.299,Up
7.068,-6.488,2.289,Up
7.171,-6.146,2.291,Up
7.278,-5.789,2.285,Up
7.385,-5.433,2.287,Up
7.489,-5.088,2.274,Up
7.596,-4.731,2.249,Up
7.703,-4.374,2.243,Up
7.810,-4.016,2.249,Up
7.916,-3.665,2.220,Up
8.022,-3.311,2.227,Up
8.127,-2.961,2.218,Up
8.233,-2.609,2.214,Up
8.335,-2.268,2.210,Up
8.439,-1.921,2.212,Up
8.546,-1.565,2.208,Up
8.652,-1.211,2.197,Up
8.756,-0.866,2.195,Up
8.861,-0.515,2.191,Up
8.968,-0.229,2.187,Up
9.072,-0.061,2.185,Up
