Test_Time,2025-07-10 21:54:11
Well,B5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),107.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.054,0.218,Down
0.225,-0.224,0.208,Down
0.332,-0.508,0.212,Down
0.436,-0.895,0.210,Down
0.543,-1.403,0.222,Down
0.651,-2.034,0.220,Down
0.758,-2.770,0.222,Down
0.865,-3.620,0.228,Down
0.972,-4.511,0.220,Down
1.078,-5.401,0.224,Down
1.181,-6.264,0.228,Down
1.285,-7.119,0.226,Down
1.389,-7.991,0.222,Down
1.494,-8.863,0.214,Down
1.598,-9.729,0.231,Down
1.705,-10.620,0.222,Down
1.810,-11.498,0.218,Down
1.918,-12.338,0.187,Down
2.023,-13.048,0.112,Down
2.130,-13.658,0.164,Down
2.235,-14.149,-0.479,Down
2.338,-14.519,-2.417,Down
2.441,-14.785,-5.562,Down
2.548,-14.950,-8.436,Down
2.653,-15.000,-10.185,Down
2.760,-14.965,-10.976,Up
2.866,-14.820,-10.998,Up
2.968,-14.573,-10.276,Up
3.074,-14.210,-8.737,Up
3.178,-13.743,-6.208,Up
3.281,-13.171,-2.502,Up
3.387,-12.471,1.502,Up
3.490,-11.690,4.057,Up
3.594,-10.826,3.727,Up
3.697,-9.974,3.191,Up
3.804,-9.081,1.654,Up
3.910,-8.195,0.944,Up
4.017,-7.308,0.793,Up
4.120,-6.448,0.650,Up
4.228,-5.549,0.552,Up
4.334,-4.673,0.469,Up
4.440,-3.785,0.401,Up
4.544,-2.944,0.370,Up
4.650,-2.182,0.338,Up
4.757,-1.534,0.322,Up
4.864,-0.998,0.303,Up
4.969,-0.585,0.282,Up
5.073,-0.284,0.274,Up
5.180,-0.086,0.262,Up
