Test_Time,2025-07-10 21:53:42
Well,B6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.515
Sampling_Period(ms),20
Well_X(mm),107.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.053,0.208,Down
0.220,-0.216,0.212,Down
0.325,-0.485,0.212,Down
0.432,-0.878,0.224,Down
0.539,-1.381,0.220,Down
0.646,-2.004,0.220,Down
0.752,-2.724,0.214,Down
0.859,-3.570,0.212,Down
0.965,-4.454,0.214,Down
1.069,-5.321,0.208,Down
1.176,-6.210,0.208,Down
1.282,-7.091,0.212,Down
1.387,-7.968,0.214,Down
1.494,-8.859,0.216,Down
1.597,-9.723,0.216,Down
1.704,-10.613,0.216,Down
1.811,-11.496,0.210,Down
1.916,-12.328,-6.042,Down
2.024,-13.051,-16.684,Down
2.131,-13.663,-26.798,Down
2.234,-14.143,-37.565,Down
2.337,-14.515,-46.505,Down
2.441,-14.788,-52.645,Down
2.547,-14.949,-56.197,Down
2.654,-15.000,-57.626,Down
2.761,-14.936,-56.545,Up
2.868,-14.759,-54.520,Up
2.973,-14.473,-51.949,Up
3.077,-14.081,-48.584,Up
3.181,-13.583,-44.177,Up
3.288,-12.958,-38.679,Up
3.394,-12.224,-32.027,Up
3.499,-11.388,-25.178,Up
3.606,-10.490,-17.462,Up
3.710,-9.630,-9.884,Up
3.816,-8.752,-2.019,Up
3.922,-7.865,5.999,Up
4.029,-6.975,0.484,Up
4.136,-6.084,0.210,Up
4.239,-5.220,0.210,Up
4.343,-4.356,0.216,Up
4.448,-3.485,0.208,Up
4.554,-2.656,0.222,Up
4.657,-1.956,0.210,Up
4.760,-1.369,0.218,Up
4.867,-0.865,0.216,Up
4.973,-0.481,0.208,Up
5.080,-0.206,0.214,Up
5.184,-0.049,0.216,Up
