Test_Time,2025-07-10 21:54:03
Well,C5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),116.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.053,0.218,Down
0.225,-0.219,0.212,Down
0.332,-0.500,0.212,Down
0.435,-0.876,0.214,Down
0.542,-1.381,0.214,Down
0.649,-2.000,0.210,Down
0.756,-2.734,0.218,Down
0.861,-3.568,0.212,Down
0.966,-4.436,0.216,Down
1.082,-5.416,0.218,Down
1.192,-6.326,0.214,Down
1.300,-7.221,0.216,Down
1.402,-8.066,0.210,Down
1.504,-8.914,0.222,Down
1.610,-9.801,0.212,Down
1.716,-10.680,0.214,Down
1.823,-11.569,0.212,Down
1.929,-12.398,0.164,Down
2.036,-13.111,-0.458,Down
2.143,-13.710,-5.585,Down
2.250,-14.198,-10.886,Down
2.354,-14.559,-14.609,Down
2.461,-14.819,-18.215,Down
2.569,-14.966,-21.169,Down
2.672,-15.000,-22.161,Down
2.776,-14.954,-23.041,Up
2.883,-14.794,-22.945,Up
2.989,-14.521,-22.176,Up
3.096,-14.135,-21.288,Up
3.203,-13.633,-18.381,Up
3.309,-13.019,-14.443,Up
3.414,-12.309,-10.218,Up
3.521,-11.465,-5.504,Up
3.627,-10.583,0.795,Up
3.734,-9.690,6.262,Up
3.839,-8.820,5.137,Up
3.941,-7.963,3.594,Up
4.044,-7.103,2.988,Up
4.149,-6.230,1.639,Up
4.257,-5.336,1.060,Up
4.363,-4.449,0.872,Up
4.468,-3.576,0.699,Up
4.571,-2.760,0.573,Up
4.677,-2.031,0.471,Up
4.783,-1.414,0.396,Up
4.890,-0.901,0.351,Up
4.995,-0.510,0.309,Up
5.099,-0.231,0.293,Up
5.204,-0.061,0.278,Up
