Test_Time,2025-07-10 22:01:01
Well,C5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),116.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.053,0.204,Down
0.232,-0.230,0.201,Down
0.339,-0.518,0.208,Down
0.443,-0.910,0.204,Down
0.551,-1.424,0.197,Down
0.653,-2.023,0.197,Down
0.760,-2.761,0.201,Down
0.866,-3.596,0.214,Down
0.973,-4.490,0.206,Down
1.077,-5.359,0.197,Down
1.179,-6.210,0.199,Down
1.286,-7.101,0.206,Down
1.390,-7.968,0.208,Down
1.497,-8.856,0.206,Down
1.602,-9.730,0.201,Down
1.705,-10.590,0.197,Down
1.809,-11.450,0.206,Down
1.916,-12.290,0.204,Down
2.022,-13.018,0.210,Down
2.129,-13.634,0.206,Down
2.236,-14.135,0.206,Down
2.343,-14.524,0.206,Down
2.450,-14.796,0.201,Down
2.557,-14.955,0.206,Down
2.664,-15.000,0.214,Down
2.772,-14.958,0.201,Up
2.879,-14.801,0.204,Up
2.985,-14.534,0.214,Up
3.091,-14.158,0.208,Up
3.194,-13.684,0.199,Up
3.301,-13.073,0.210,Up
3.406,-12.368,0.208,Up
3.513,-11.538,0.204,Up
3.620,-10.650,0.208,Up
3.726,-9.761,0.210,Up
3.830,-8.894,0.214,Up
3.937,-8.006,0.206,Up
4.044,-7.114,0.204,Up
4.151,-6.223,0.214,Up
4.258,-5.331,0.206,Up
4.365,-4.436,0.208,Up
4.473,-3.545,0.199,Up
4.576,-2.725,0.212,Up
4.682,-2.004,0.201,Up
4.789,-1.386,0.197,Up
4.895,-0.881,0.212,Up
5.012,-0.455,0.199,Up
5.119,-0.193,0.204,Up
5.225,-0.040,0.197,Up
