Test_Time,2025-07-10 22:01:18
Well,A5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),98.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.053,0.197,Down
0.218,-0.210,0.206,Down
0.321,-0.478,0.199,Down
0.428,-0.863,0.208,Down
0.534,-1.360,0.201,Down
0.641,-1.974,0.197,Down
0.747,-2.694,0.206,Down
0.854,-3.534,0.204,Down
0.960,-4.423,0.201,Down
1.063,-5.280,0.208,Down
1.170,-6.168,0.201,Down
1.277,-7.061,0.199,Down
1.384,-7.946,0.195,Down
1.490,-8.835,0.208,Down
1.597,-9.723,0.204,Down
1.701,-10.590,0.208,Down
1.808,-11.483,0.201,Down
1.914,-12.313,0.197,Down
2.021,-13.039,0.206,Down
2.126,-13.644,0.208,Down
2.230,-14.131,0.197,Down
2.337,-14.519,0.201,Down
2.442,-14.790,0.204,Down
2.545,-14.948,0.199,Down
2.651,-15.000,0.199,Down
2.757,-14.966,0.204,Up
2.864,-14.823,0.210,Up
2.967,-14.575,0.208,Up
3.074,-14.208,0.204,Up
3.183,-13.714,0.204,Up
3.286,-13.141,0.210,Up
3.388,-12.468,0.208,Up
3.494,-11.653,0.195,Up
3.601,-10.766,0.210,Up
3.705,-9.900,0.199,Up
3.812,-9.010,0.204,Up
3.918,-8.124,0.208,Up
4.025,-7.234,0.204,Up
4.132,-6.338,0.206,Up
4.240,-5.445,0.197,Up
4.344,-4.580,0.199,Up
4.449,-3.706,0.199,Up
4.555,-2.853,0.201,Up
4.662,-2.100,0.212,Up
4.767,-1.471,0.208,Up
4.875,-0.949,0.218,Up
4.982,-0.541,0.208,Up
5.084,-0.258,0.204,Up
5.190,-0.073,0.206,Up
