Test_Time,2025-07-16 01:49:48
Target_Z(mm),-15.000
Step_Size(mm),0.500
Force_Limit(N),45.0
Baseline_Force(N),1.777
Baseline_Std(N),0.003

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752644982.685,-8.001,1.782,0.005
1752644982.753,-8.031,1.776,-0.001
1752644982.822,-8.109,1.778,0.001
1752644982.893,-8.238,1.776,-0.001
1752644982.963,-8.393,1.776,-0.001
1752644983.035,-8.529,1.772,-0.005
1752644983.105,-8.666,1.774,-0.003
1752644983.176,-8.806,1.780,0.003
1752644983.246,-8.943,1.782,0.005
1752644983.316,-9.079,1.776,-0.001
1752644983.385,-9.214,1.774,-0.003
1752644983.455,-9.350,1.776,-0.001
1752644983.526,-9.485,1.778,0.001
1752644983.597,-9.623,1.780,0.003
1752644983.667,-9.759,1.778,0.001
1752644983.736,-9.891,1.718,-0.059
1752644983.808,-10.029,1.442,-0.335
1752644983.878,-10.166,1.023,-0.754
1752644983.950,-10.303,0.511,-1.266
1752644984.019,-10.439,-0.089,-1.866
1752644984.090,-10.575,-0.855,-2.632
1752644984.160,-10.713,-2.151,-3.928
1752644984.229,-10.848,-3.691,-5.468
1752644984.299,-10.981,-5.284,-7.061
1752644984.369,-11.118,-6.814,-8.591
1752644984.438,-11.250,-8.301,-10.078
1752644984.506,-11.381,-9.849,-11.626
1752644984.577,-11.523,-11.463,-13.240
1752644984.648,-11.664,-13.026,-14.803
1752644984.720,-11.798,-14.775,-16.552
1752644984.789,-11.936,-16.690,-18.467
1752644984.859,-12.075,-18.696,-20.473
1752644984.930,-12.210,-20.798,-22.575
1752644985.000,-12.349,-21.970,-23.747
1752644985.071,-12.484,-23.364,-25.142
1752644985.140,-12.621,-25.414,-27.192
1752644985.212,-12.756,-27.479,-29.256
1752644985.281,-12.891,-29.689,-31.466
1752644985.350,-13.029,-31.915,-33.692
1752644985.420,-13.161,-34.257,-36.034
1752644985.489,-13.296,-36.737,-38.514
1752644985.559,-13.431,-39.241,-41.018
1752644985.630,-13.566,-41.673,-43.450
1752644985.700,-13.708,-44.310,-46.087
