Test_Time,2025-07-16 01:59:17
Target_Z(mm),-15.000
Step_Size(mm),0.200
Force_Limit(N),45.0
Baseline_Force(N),1.823
Baseline_Std(N),0.006

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752645548.782,-8.001,1.820,-0.003
1752645548.852,-8.030,1.826,0.003
1752645548.921,-8.108,1.822,-0.001
1752645548.989,-8.185,1.824,0.001
1752645549.058,-8.250,1.826,0.003
1752645549.127,-8.315,1.824,0.001
1752645549.196,-8.390,1.820,-0.003
1752645549.266,-8.460,1.814,-0.010
1752645549.335,-8.524,1.824,0.001
1752645549.406,-8.600,1.828,0.005
1752645549.475,-8.667,1.826,0.003
1752645549.543,-8.729,1.826,0.003
1752645549.613,-8.805,1.826,0.003
1752645549.682,-8.870,1.824,0.001
1752645549.751,-8.938,1.822,-0.001
1752645549.822,-9.008,1.826,0.003
1752645549.892,-9.080,1.824,0.001
1752645549.961,-9.145,1.826,0.003
1752645550.030,-9.218,1.824,0.001
1752645550.099,-9.285,1.824,0.001
1752645550.170,-9.355,1.822,-0.001
1752645550.239,-9.424,1.824,0.001
1752645550.308,-9.496,1.832,0.009
1752645550.377,-9.563,1.830,0.007
1752645550.446,-9.635,1.824,0.001
1752645550.515,-9.701,1.828,0.005
1752645550.584,-9.773,1.834,0.011
1752645550.651,-9.837,1.824,0.001
1752645550.721,-9.909,1.824,0.001
1752645550.792,-9.976,1.830,0.007
1752645550.862,-10.049,1.824,0.001
1752645550.932,-10.115,1.828,0.005
1752645551.003,-10.189,1.826,0.003
1752645551.074,-10.251,1.826,0.003
1752645551.145,-10.318,1.805,-0.018
1752645551.216,-10.394,1.706,-0.117
1752645551.287,-10.458,1.583,-0.240
1752645551.358,-10.524,1.382,-0.441
1752645551.426,-10.599,1.073,-0.750
1752645551.497,-10.663,0.627,-1.196
1752645551.567,-10.735,0.019,-1.804
1752645551.638,-10.805,-0.610,-2.433
1752645551.709,-10.876,-1.311,-3.134
1752645551.778,-10.938,-1.878,-3.701
1752645551.848,-11.006,-2.568,-4.392
1752645551.917,-11.079,-3.278,-5.101
1752645551.988,-11.140,-3.867,-5.690
1752645552.056,-11.206,-4.548,-6.371
1752645552.126,-11.280,-5.361,-7.184
1752645552.197,-11.349,-6.102,-7.925
1752645552.268,-11.415,-6.888,-8.711
1752645552.338,-11.491,-7.807,-9.631
1752645552.408,-11.558,-8.602,-10.425
1752645552.478,-11.623,-9.405,-11.228
1752645552.548,-11.699,-10.297,-12.120
1752645552.619,-11.764,-11.059,-12.882
1752645552.690,-11.836,-11.972,-13.795
1752645552.760,-11.901,-12.766,-14.589
1752645552.831,-11.973,-13.721,-15.544
1752645552.902,-12.043,-14.627,-16.451
1752645552.972,-12.115,-15.598,-17.422
1752645553.043,-12.176,-16.482,-18.305
1752645553.113,-12.244,-17.586,-19.409
1752645553.182,-12.318,-18.700,-20.523
1752645553.252,-12.379,-19.646,-21.470
1752645553.323,-12.445,-20.715,-22.538
1752645553.393,-12.521,-21.673,-23.497
1752645553.463,-12.583,-21.740,-23.563
1752645553.533,-12.648,-22.313,-24.136
1752645553.604,-12.724,-23.541,-25.364
1752645553.674,-12.786,-24.425,-26.248
1752645553.744,-12.851,-25.427,-27.250
1752645553.814,-12.928,-26.529,-28.352
1752645553.882,-12.988,-27.425,-29.248
1752645553.952,-13.053,-28.433,-30.256
1752645554.022,-13.128,-29.635,-31.458
1752645554.093,-13.195,-30.753,-32.576
1752645554.163,-13.261,-31.904,-33.728
1752645554.234,-13.338,-33.183,-35.006
1752645554.303,-13.403,-34.374,-36.197
1752645554.376,-13.468,-35.687,-37.510
1752645554.446,-13.548,-37.075,-38.898
1752645554.517,-13.611,-38.268,-40.091
1752645554.588,-13.685,-39.677,-41.500
1752645554.658,-13.753,-40.907,-42.730
1752645554.729,-13.823,-42.304,-44.127
1752645554.798,-13.891,-43.623,-45.446
