Test_Time,2025-07-16 01:54:57
Target_Z(mm),-15.000
Step_Size(mm),0.300
Force_Limit(N),45.0
Baseline_Force(N),1.793
Baseline_Std(N),0.002

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752645289.544,-8.001,1.789,-0.004
1752645289.614,-8.033,1.787,-0.006
1752645289.684,-8.113,1.787,-0.006
1752645289.755,-8.228,1.793,0.000
1752645289.826,-8.314,1.791,-0.002
1752645289.897,-8.410,1.789,-0.004
1752645289.968,-8.509,1.795,0.002
1752645290.038,-8.608,1.791,-0.002
1752645290.108,-8.704,1.791,-0.002
1752645290.178,-8.800,1.791,-0.002
1752645290.248,-8.896,1.797,0.004
1752645290.318,-8.991,1.787,-0.006
1752645290.387,-9.085,1.787,-0.006
1752645290.455,-9.178,1.787,-0.006
1752645290.525,-9.274,1.793,0.000
1752645290.595,-9.371,1.799,0.006
1752645290.665,-9.465,1.789,-0.004
1752645290.734,-9.554,1.795,0.002
1752645290.802,-9.645,1.793,0.000
1752645290.871,-9.744,1.791,-0.002
1752645290.942,-9.836,1.762,-0.031
1752645291.013,-9.931,1.469,-0.324
1752645291.083,-10.029,1.253,-0.539
1752645291.153,-10.121,1.193,-0.600
1752645291.225,-10.218,1.177,-0.616
1752645291.294,-10.308,1.187,-0.606
1752645291.364,-10.400,1.179,-0.614
1752645291.434,-10.496,1.135,-0.658
1752645291.503,-10.594,1.119,-0.674
1752645291.571,-10.684,1.197,-0.595
1752645291.641,-10.778,1.282,-0.510
1752645291.709,-10.878,1.353,-0.440
1752645291.779,-10.970,1.394,-0.398
1752645291.850,-11.065,1.162,-0.631
1752645291.920,-11.156,0.662,-1.131
1752645291.991,-11.250,-0.002,-1.795
1752645292.061,-11.346,-0.807,-2.600
1752645292.132,-11.445,-1.817,-3.610
1752645292.202,-11.540,-2.859,-4.652
1752645292.272,-11.630,-3.948,-5.741
1752645292.343,-11.725,-5.228,-7.021
1752645292.414,-11.828,-6.589,-8.382
1752645292.484,-11.920,-7.857,-9.650
1752645292.555,-12.009,-9.069,-10.862
1752645292.625,-12.105,-10.461,-12.254
1752645292.698,-12.208,-11.918,-13.710
1752645292.769,-12.303,-13.221,-15.013
1752645292.840,-12.394,-14.345,-16.138
1752645292.911,-12.493,-13.972,-15.765
1752645292.982,-12.589,-15.252,-17.045
1752645293.053,-12.684,-16.659,-18.451
1752645293.124,-12.775,-17.993,-19.786
1752645293.194,-12.871,-19.453,-21.246
1752645293.264,-12.971,-20.983,-22.775
1752645293.334,-13.065,-21.767,-23.560
1752645293.405,-13.154,-22.327,-24.120
1752645293.475,-13.251,-23.879,-25.672
1752645293.546,-13.353,-25.304,-27.097
1752645293.615,-13.445,-26.539,-28.332
1752645293.687,-13.533,-27.811,-29.604
1752645293.758,-13.633,-29.272,-31.064
1752645293.828,-13.734,-30.815,-32.608
1752645293.898,-13.824,-32.288,-34.081
1752645293.968,-13.915,-33.749,-35.542
1752645294.039,-14.013,-35.457,-37.249
1752645294.108,-14.111,-37.218,-39.011
1752645294.179,-14.204,-38.901,-40.694
1752645294.248,-14.293,-40.496,-42.289
1752645294.319,-14.389,-42.156,-43.949
1752645294.389,-14.490,-43.806,-45.599
