Test_Time,2025-07-16 01:51:08
Target_Z(mm),-15.000
Step_Size(mm),0.500
Force_Limit(N),45.0
Baseline_Force(N),1.774
Baseline_Std(N),0.003

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752645062.164,-8.001,1.774,0.000
1752645062.233,-8.031,1.776,0.002
1752645062.304,-8.111,1.772,-0.002
1752645062.376,-8.243,1.766,-0.008
1752645062.444,-8.395,1.772,-0.002
1752645062.515,-8.524,1.770,-0.004
1752645062.585,-8.660,1.770,-0.004
1752645062.653,-8.797,1.770,-0.004
1752645062.723,-8.936,1.772,-0.002
1752645062.794,-9.074,1.774,0.000
1752645062.864,-9.210,1.768,-0.006
1752645062.933,-9.345,1.772,-0.002
1752645063.004,-9.483,1.776,0.002
1752645063.074,-9.620,1.776,0.002
1752645063.142,-9.754,1.774,0.000
1752645063.211,-9.886,1.770,-0.004
1752645063.282,-10.021,1.766,-0.008
1752645063.351,-10.164,1.704,-0.070
1752645063.421,-10.294,1.394,-0.379
1752645063.491,-10.429,0.894,-0.879
1752645063.563,-10.568,0.226,-1.547
1752645063.633,-10.705,-0.595,-2.369
1752645063.703,-10.838,-1.853,-3.626
1752645063.773,-10.975,-3.506,-5.280
1752645063.844,-11.113,-5.208,-6.981
1752645063.914,-11.246,-6.851,-8.625
1752645063.986,-11.384,-8.480,-10.253
1752645064.054,-11.520,-10.196,-11.969
1752645064.124,-11.653,-11.847,-13.621
1752645064.193,-11.788,-13.513,-15.287
1752645064.263,-11.924,-15.343,-17.117
1752645064.333,-12.061,-17.300,-19.074
1752645064.404,-12.195,-19.366,-21.140
1752645064.473,-12.331,-21.454,-23.227
1752645064.544,-12.468,-22.147,-23.920
1752645064.615,-12.605,-24.020,-25.794
1752645064.686,-12.743,-26.051,-27.825
1752645064.756,-12.880,-28.259,-30.033
1752645064.827,-13.015,-30.514,-32.288
1752645064.898,-13.151,-32.894,-34.668
1752645064.966,-13.288,-35.423,-37.197
1752645065.036,-13.420,-37.888,-39.662
1752645065.106,-13.556,-40.415,-42.189
1752645065.177,-13.694,-42.978,-44.752
1752645065.249,-13.830,-45.555,-47.329
