Test_Time,2025-07-16 01:40:15
Target_Z(mm),-10.000
Step_Size(mm),0.100
Force_Limit(N),45.0
Baseline_Force(N),1.824
Baseline_Std(N),0.005

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752644409.134,-8.001,1.824,-0.000
1752644409.202,-8.030,1.830,0.006
1752644409.272,-8.085,1.818,-0.007
1752644409.341,-8.113,1.824,-0.000
1752644409.410,-8.143,1.836,0.012
1752644409.480,-8.191,1.822,-0.002
1752644409.550,-8.226,1.828,0.004
1752644409.621,-8.254,1.826,0.002
1752644409.691,-8.301,1.830,0.006
1752644409.762,-8.337,1.822,-0.002
1752644409.832,-8.363,1.830,0.006
1752644409.900,-8.408,1.830,0.006
1752644409.969,-8.449,1.824,-0.000
1752644410.037,-8.475,1.824,-0.000
1752644410.109,-8.515,1.822,-0.002
1752644410.182,-8.558,1.834,0.010
1752644410.253,-8.589,1.832,0.008
1752644410.324,-8.630,1.828,0.004
1752644410.393,-8.667,1.826,0.002
1752644410.464,-8.703,1.832,0.008
1752644410.535,-8.741,1.828,0.004
1752644410.605,-8.783,1.830,0.006
1752644410.674,-8.813,1.830,0.006
1752644410.746,-8.851,1.824,-0.000
1752644410.817,-8.895,1.826,0.002
1752644410.887,-8.928,1.836,0.012
1752644410.959,-8.966,1.834,0.010
1752644411.029,-9.006,1.824,-0.000
1752644411.100,-9.042,1.828,0.004
1752644411.171,-9.079,1.824,-0.000
1752644411.242,-9.116,1.832,0.008
1752644411.312,-9.156,1.830,0.006
1752644411.382,-9.190,1.826,0.002
1752644411.453,-9.226,1.822,-0.002
1752644411.525,-9.269,1.820,-0.005
1752644411.594,-9.306,1.822,-0.002
1752644411.666,-9.340,1.828,0.004
1752644411.736,-9.380,1.824,-0.000
1752644411.803,-9.419,1.828,0.004
1752644411.873,-9.449,1.830,0.006
1752644411.944,-9.494,1.830,0.006
1752644412.013,-9.533,1.824,-0.000
1752644412.084,-9.559,1.830,0.006
1752644412.153,-9.604,1.826,0.002
1752644412.224,-9.643,1.820,-0.005
1752644412.297,-9.671,1.828,0.004
1752644412.367,-9.718,1.830,0.006
1752644412.437,-9.751,1.824,-0.000
1752644412.507,-9.786,1.826,0.002
1752644412.575,-9.829,1.826,0.002
1752644412.645,-9.863,1.826,0.002
1752644412.715,-9.896,1.828,0.004
1752644412.783,-9.935,1.826,0.002
1752644412.853,-9.971,1.826,0.002
1752644412.924,-10.009,1.824,-0.000
