Test_Time,2025-07-16 02:02:37
Target_Z(mm),-15.000
Step_Size(mm),0.200
Force_Limit(N),45.0
Baseline_Force(N),1.840
Baseline_Std(N),0.005

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752645749.928,-10.001,1.841,0.001
1752645749.997,-10.033,1.834,-0.005
1752645750.067,-10.113,1.839,-0.001
1752645750.138,-10.188,1.834,-0.005
1752645750.209,-10.250,1.841,0.001
1752645750.281,-10.320,1.801,-0.039
1752645750.350,-10.396,1.724,-0.115
1752645750.420,-10.459,1.641,-0.198
1752645750.489,-10.524,1.521,-0.319
1752645750.560,-10.601,1.382,-0.458
1752645750.631,-10.665,1.233,-0.607
1752645750.701,-10.730,0.915,-0.925
1752645750.772,-10.808,0.492,-1.348
1752645750.843,-10.879,0.114,-1.725
1752645750.914,-10.936,-0.247,-2.086
1752645750.984,-11.009,-0.830,-2.669
1752645751.055,-11.083,-1.367,-3.207
1752645751.125,-11.143,-1.867,-3.707
1752645751.196,-11.211,-2.566,-4.406
1752645751.266,-11.288,-3.280,-5.120
1752645751.336,-11.349,-3.880,-5.719
1752645751.406,-11.416,-4.643,-6.483
1752645751.477,-11.493,-5.448,-7.288
1752645751.548,-11.555,-6.118,-7.958
1752645751.620,-11.623,-6.973,-8.813
1752645751.691,-11.700,-7.942,-9.782
1752645751.762,-11.764,-8.735,-10.575
1752645751.834,-11.833,-9.488,-11.328
1752645751.903,-11.909,-10.052,-11.892
1752645751.973,-11.979,-10.824,-12.664
1752645752.042,-12.038,-11.544,-13.384
1752645752.112,-12.109,-12.428,-14.268
1752645752.183,-12.181,-13.252,-15.092
1752645752.252,-12.248,-14.096,-15.936
1752645752.323,-12.310,-14.930,-16.770
1752645752.396,-12.380,-15.935,-17.774
1752645752.466,-12.454,-16.951,-18.791
1752645752.537,-12.516,-17.847,-19.687
1752645752.607,-12.584,-18.879,-20.718
1752645752.677,-12.660,-20.039,-21.878
1752645752.747,-12.723,-20.949,-22.789
1752645752.818,-12.789,-21.294,-23.134
1752645752.889,-12.866,-21.626,-23.466
1752645752.960,-12.930,-22.574,-24.414
1752645753.031,-12.996,-23.616,-25.455
1752645753.101,-13.074,-24.688,-26.528
1752645753.171,-13.144,-25.697,-27.536
1752645753.242,-13.201,-26.643,-28.482
1752645753.312,-13.275,-27.830,-29.669
1752645753.382,-13.348,-28.946,-30.786
1752645753.453,-13.406,-29.935,-31.775
1752645753.525,-13.478,-31.145,-32.985
1752645753.595,-13.554,-32.373,-34.213
1752645753.666,-13.614,-33.469,-35.309
1752645753.736,-13.684,-34.807,-36.647
1752645753.805,-13.758,-36.085,-37.925
1752645753.873,-13.818,-37.197,-39.037
1752645753.943,-13.884,-38.484,-40.324
1752645754.014,-13.959,-39.835,-41.674
1752645754.084,-14.021,-40.994,-42.834
1752645754.154,-14.086,-42.281,-44.120
1752645754.224,-14.161,-43.710,-45.550
