Test_Time,2025-07-16 02:02:12
Target_Z(mm),-15.000
Step_Size(mm),0.200
Force_Limit(N),45.0
Baseline_Force(N),1.118
Baseline_Std(N),0.002

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752645724.542,-10.001,1.002,-0.116
1752645724.612,-10.031,1.017,-0.101
1752645724.682,-10.111,1.154,0.036
1752645724.752,-10.189,1.243,0.125
1752645724.822,-10.249,1.268,0.150
1752645724.893,-10.316,1.338,0.220
1752645724.962,-10.394,1.424,0.305
1752645725.032,-10.460,1.446,0.328
1752645725.102,-10.519,1.282,0.164
1752645725.172,-10.590,0.955,-0.164
1752645725.243,-10.661,0.602,-0.516
1752645725.314,-10.730,0.183,-0.935
1752645725.384,-10.799,-0.313,-1.431
1752645725.456,-10.866,-0.875,-1.994
1752645725.526,-10.943,-1.552,-2.670
1752645725.597,-11.001,-2.156,-3.274
1752645725.667,-11.069,-2.977,-4.095
1752645725.737,-11.145,-3.907,-5.025
1752645725.806,-11.210,-4.735,-5.853
1752645725.877,-11.276,-5.633,-6.751
1752645725.946,-11.353,-6.600,-7.718
1752645726.015,-11.415,-7.438,-8.556
1752645726.087,-11.489,-8.486,-9.604
1752645726.157,-11.560,-9.449,-10.567
1752645726.225,-11.621,-10.318,-11.436
1752645726.296,-11.690,-11.335,-12.453
1752645726.367,-11.765,-12.333,-13.451
1752645726.437,-11.828,-13.160,-14.279
1752645726.508,-11.895,-9.681,-10.799
1752645726.579,-11.971,-9.364,-10.482
1752645726.648,-12.034,-9.915,-11.034
1752645726.719,-12.100,-9.262,-10.380
1752645726.789,-12.178,-9.305,-10.424
1752645726.857,-12.238,-9.994,-11.112
1752645726.927,-12.303,-10.384,-11.502
1752645726.998,-12.380,-10.590,-11.708
1752645727.069,-12.449,-11.194,-12.312
1752645727.140,-12.514,-12.015,-13.133
1752645727.210,-12.586,-12.947,-14.065
1752645727.281,-12.653,-13.839,-14.957
1752645727.352,-12.725,-14.885,-16.003
1752645727.423,-12.795,-15.885,-17.003
1752645727.495,-12.861,-16.920,-18.038
1752645727.567,-12.939,-18.111,-19.229
1752645727.637,-13.000,-19.045,-20.163
1752645727.705,-13.064,-20.036,-21.155
1752645727.774,-13.139,-21.165,-22.283
1752645727.843,-13.208,-21.839,-22.958
1752645727.913,-13.270,-21.978,-23.097
1752645727.983,-13.346,-22.981,-24.099
1752645728.054,-13.413,-23.925,-25.043
1752645728.123,-13.483,-24.906,-26.024
1752645728.194,-13.546,-25.784,-26.902
1752645728.266,-13.619,-26.842,-27.960
1752645728.334,-13.686,-27.867,-28.985
1752645728.405,-13.756,-28.983,-30.101
1752645728.475,-13.826,-30.058,-31.176
1752645728.545,-13.899,-31.207,-32.325
1752645728.616,-13.959,-32.174,-33.292
1752645728.686,-14.026,-33.280,-34.398
1752645728.756,-14.100,-34.463,-35.581
1752645728.826,-14.163,-35.589,-36.708
1752645728.898,-14.228,-36.828,-37.946
1752645728.967,-14.305,-38.129,-39.247
1752645729.038,-14.366,-39.245,-40.363
1752645729.108,-14.433,-40.465,-41.583
1752645729.179,-14.509,-41.764,-42.882
1752645729.250,-14.579,-42.887,-44.005
1752645729.320,-14.638,-43.899,-45.017
