Test_Time,2025-07-11 04:51:53
Well,A5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),98.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.053,0.235,Down
0.219,-0.213,0.241,Down
0.326,-0.490,0.243,Down
0.432,-0.880,0.241,Down
0.536,-1.310,0.243,Down
0.642,-1.755,0.233,Down
0.748,-2.193,0.233,Down
0.854,-2.636,0.239,Down
0.960,-3.078,0.239,Down
1.067,-3.523,0.241,Down
1.174,-3.968,0.233,Down
1.276,-4.395,0.239,Down
1.383,-4.840,0.247,Down
1.490,-5.284,0.228,Down
1.595,-5.719,0.231,Down
1.701,-6.164,0.241,Down
1.805,-6.598,0.243,Down
1.912,-7.043,0.239,Down
2.016,-7.471,0.243,Down
2.119,-7.905,0.233,Down
2.226,-8.350,0.239,Down
2.333,-8.795,0.237,Down
2.440,-9.240,0.241,Down
2.543,-9.669,0.235,Down
2.650,-10.114,0.241,Down
2.757,-10.559,0.233,Down
2.864,-11.004,0.241,Down
2.966,-11.429,0.233,Down
3.073,-11.875,0.212,Down
3.179,-12.315,0.094,Down
3.286,-12.761,-0.093,Down
3.393,-13.206,-0.141,Down
3.500,-13.651,-0.201,Down
3.602,-14.078,-0.342,Down
3.709,-14.478,-0.556,Down
3.811,-14.755,-1.687,Down
3.918,-14.935,-5.753,Down
4.125,-15.000,-9.538,Down
4.232,-14.948,-12.026,Up
4.335,-14.789,-13.214,Up
4.442,-14.513,-12.974,Up
4.548,-14.115,-11.857,Up
4.658,-13.668,-10.378,Up
4.765,-13.224,-7.177,Up
4.868,-12.791,-2.216,Up
4.975,-12.346,3.108,Up
5.081,-11.906,4.206,Up
5.188,-11.461,3.770,Up
5.294,-11.020,3.349,Up
5.396,-10.596,2.978,Up
5.498,-10.169,2.519,Up
5.605,-9.724,1.639,Up
5.707,-9.300,1.150,Up
5.814,-8.855,1.013,Up
5.920,-8.411,0.880,Up
6.024,-7.980,0.778,Up
6.127,-7.551,0.695,Up
6.231,-7.118,0.641,Up
6.338,-6.674,0.594,Up
6.444,-6.229,0.560,Up
6.550,-5.791,0.525,Up
6.656,-5.346,0.488,Up
6.763,-4.901,0.459,Up
6.869,-4.460,0.446,Up
6.972,-4.034,0.421,Up
7.079,-3.590,0.392,Up
7.185,-3.149,0.380,Up
7.288,-2.716,0.374,Up
7.394,-2.276,0.367,Up
7.501,-1.831,0.349,Up
7.608,-1.386,0.347,Up
7.715,-0.940,0.336,Up
7.820,-0.540,0.332,Up
7.927,-0.246,0.324,Up
8.034,-0.066,0.322,Up
